"V1" "V2"
"1" 138.760153228624 -33.5592408384021
"2" 139.078751045478 -33.9933411393001
"3" 138.950596249 -34.821910943353
"4" 138.886759221601 -34.8211386026463
"5" 138.758697526738 -34.828952162068
"6" 138.859977368979 -34.7817517285683
"7" 138.956987626611 -34.8695631166423
"8" 138.923425835746 -35.4942647223174
"9" 138.799744023931 -35.5127621598167
"10" 139.028880568481 -35.2984109793344
"11" 138.619294221613 -35.3485863781918
"12" 138.82802174732 -34.608549707718
"13" 139.043922719872 -34.7756911979687
"14" 139.047320698081 -34.4318995136484
"15" 138.081117318609 -33.5951613376205
"16" 140.401477627307 -34.2443046222689
"17" 138.691686038941 -34.0295624546956
"18" 138.815412923615 -33.9980960003617
"19" 138.879073601949 -34.1389871251966
"20" 138.721952506975 -33.9237660169918
"21" 136.199567542665 -33.4643968519612
"22" 136.274454789025 -33.685568057379
"23" 139.949625848548 -35.3660924132182
"24" 137.905194457656 -34.0404144596921
"25" 134.682534559953 -33.1667162835062
"26" 140.560820119563 -37.9008148161353
"27" 140.798179247117 -37.6267035511148
"28" 137.773238325787 -35.7866580857664
"29" 137.505632941841 -35.5920001387037
"30" 137.260973595962 -35.785648034379
"31" 137.206326378758 -35.6241364640923
"32" 137.558299234373 -35.6278302156544
"33" 136.161879306806 -32.9468920062862
"34" 139.700708286161 -36.9447551805858
"35" 138.688836838082 -34.5310571711499
"36" 138.681288478155 -34.4732780279463
"37" 135.731149561856 -34.0302017591829
"38" 135.467584262374 -34.6215589898884
"39" 135.354309222969 -34.1084803454209
"40" 135.49557024765 -34.1374765494982
"41" 135.866602001034 -34.627976008955
"42" 135.867223025118 -34.6137212213673
"43" 135.477885596047 -34.5382350268286
"44" 140.345114920682 -34.2199162457702
"45" 140.623841031929 -34.4149945893688
"46" 140.363961354913 -34.2777759288989
"47" 140.726442519157 -34.7196166818004
"48" 139.930775813592 -34.1693313067496
"49" 140.302723395015 -34.4923149966704
"50" 138.376231220174 -34.3628090809599
"51" 139.126984523993 -34.5688359781036
"52" 139.28952611223 -34.5760716651121
"53" 138.58829550517 -35.0311227651638
"54" 138.608671201057 -35.0331067874877
"55" 138.620107629589 -35.0306090149256
"56" 139.040438860352 -35.1133818205464
"57" 138.791481749407 -35.0957815991377
"58" 138.853780218938 -35.0561687260689
"59" 138.830495556578 -35.168528327872
"60" 138.760722636787 -35.1800117422271
"61" 139.308032679799 -35.0883059534581
"62" 139.433516307839 -35.2648830530766
"63" 139.32723033819 -35.0289882427691
"64" 139.337607133613 -34.9973186057805
"65" 140.959413450067 -36.7128279935754
"66" 138.388132561197 -33.3626785513695
"67" 138.440539630765 -33.4691917709527
"68" 138.618974630399 -35.0512574405876
"69" 138.659036223179 -35.1423566017143
"70" 138.523960228454 -32.4270279960097
"71" 138.21855522339 -33.5397117809353
"72" 140.65335309522 -34.2575421902895
"73" 140.789087683789 -34.183217804728
"74" 140.158467093378 -35.3844396032008
"75" 140.671720778742 -35.2977309238249
"76" 134.408799991457 -32.7432263408145
"77" 134.842738218099 -32.7132457840946
"78" 134.542359679218 -32.4018619960813
"79" 140.691574106363 -36.3569086295908
"80" 140.491731504937 -36.6024344320246
"81" 140.349420869235 -36.3917505264792
"82" 140.909394897191 -36.3639788047171
"83" 135.841134207667 -34.2097736807148
"84" 136.139377153376 -34.2914604853206
"85" 136.050370211379 -34.1711171900432
"86" 135.87973811258 -34.3494061220785
"87" 138.621015576101 -35.516851099504
"88" 140.582478618934 -37.6688984742542
"89" 140.699628675095 -37.5591327100313
"90" 140.816397650654 -37.5413122311788
"91" 140.460118434606 -37.6973311699609
"92" 135.560231479913 -33.1294189287801
"93" 135.600497936408 -33.2380787405872
"94" 138.094461587891 -35.6037745694122
"95" 138.328070807611 -35.4274363268977
"96" 138.464593623748 -35.3942141535468
"97" 138.189440173238 -35.5252484630251
"98" 138.349248115778 -35.4590572898641
"99" 138.258851708353 -35.5021714541858
"100" 138.243566172278 -35.4994984934551
"101" 138.621823115859 -35.2463088915271
